construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,177,0.9600,0.8229,0.1371,0.0000,0.3109
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,177,0.9600,1.0000,-0.0400,-0.1025,0.0000
violation,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,177,0.9600,0.4971,0.4629,0.0000,0.9532
violation,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,176,0.9953,0.9766,0.0187,0.0000,0.0576
violation,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,176,0.9953,0.9263,0.0690,0.0000,0.1680
violation,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,0,176,0.9953,0.8842,0.1111,0.0034,0.3377
violation,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,176,0.9953,0.9988,-0.0035,-0.0171,0.0044
violation,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,176,0.9953,0.6760,0.3193,-0.0057,0.7632
violation,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,72,0.9250,0.9740,-0.1014,-0.2057,-0.0067
violation,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,72,0.9250,0.9913,-0.1188,-0.2102,-0.0427
violation,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,72,0.9250,0.9748,-0.1023,-0.1962,-0.0126
violation,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,72,0.9250,0.9887,-0.1162,-0.2109,-0.0378
violation,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,72,0.9250,0.9167,-0.0441,-0.1409,0.0636
violation,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,189,0.9884,0.8885,0.0999,0.0004,0.2299
violation,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,189,0.9884,0.9767,0.0116,-0.0106,0.0345
violation,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,189,0.9884,0.9614,0.0270,-0.0110,0.0868
violation,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,1,189,0.9884,0.9887,-0.0003,-0.0194,0.0232
violation,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,0,189,0.9884,0.8167,0.1717,0.0734,0.2869
outcome,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,485,0.6512,0.6857,-0.0346,-0.0900,0.0236
outcome,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,485,0.6512,0.6628,-0.0116,-0.0902,0.0658
outcome,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,485,0.6512,0.5875,0.0637,-0.0231,0.1480
outcome,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,485,0.6512,0.6618,-0.0106,-0.0685,0.0453
outcome,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,485,0.6512,0.5335,0.1177,0.0324,0.2043
outcome,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,485,0.6899,0.7242,-0.0343,-0.0912,0.0214
outcome,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,485,0.6899,0.6139,0.0760,-0.0290,0.1791
outcome,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,485,0.6899,0.5632,0.1267,-0.0004,0.2602
outcome,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,485,0.6899,0.7189,-0.0290,-0.0983,0.0356
outcome,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,485,0.6899,0.4700,0.2198,0.1208,0.3149
outcome,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,492,0.5291,0.6508,-0.1217,-0.1983,-0.0399
outcome,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,492,0.5291,0.6905,-0.1614,-0.2904,-0.0424
outcome,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,492,0.5291,0.5826,-0.0535,-0.1459,0.0359
outcome,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,492,0.5291,0.6072,-0.0781,-0.1679,0.0181
outcome,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,492,0.5291,0.5691,-0.0399,-0.1300,0.0478
outcome,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,444,0.6849,0.6220,0.0629,0.0200,0.1088
outcome,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,444,0.6849,0.6115,0.0734,0.0136,0.1312
outcome,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,444,0.6849,0.5674,0.1175,0.0479,0.1867
outcome,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,444,0.6849,0.6604,0.0245,-0.0232,0.0723
outcome,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,444,0.6849,0.5063,0.1786,0.1043,0.2608
outcome,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,446,0.5993,0.7056,-0.1063,-0.1551,-0.0605
